EDGE	LeanDag.Hybrid.Checkpoint.Model.Execution.ChkWitness.recOn	LeanDag.HybridFaults
EDGE	LeanDag.Hybrid.Checkpoint.Model.Execution.ChkWitness.recOn	LeanDag.Hybrid.Checkpoint.CheckpointData
EDGE	LeanDag.Hybrid.Checkpoint.Model.Execution.ChkWitness.recOn	LeanDag.Hybrid.Checkpoint.Model.RecoveryCorrect
EDGE	LeanDag.Hybrid.Checkpoint.Model.Execution.ChkWitness.recOn	LeanDag.Hybrid.Checkpoint.Model.Execution.ChkWitness.mk
EDGE	LeanDag.Hybrid.Checkpoint.Model.Execution.ChkWitness.recOn	LeanDag.Hybrid.Checkpoint.Model.Execution.ChkWitness
EDGE	LeanDag.Hybrid.Checkpoint.Model.Execution.ChkWitness.recOn	LeanDag.Hybrid.Checkpoint.Model.Execution.recorded
EDGE	LeanDag.Hybrid.Checkpoint.Model.Execution.ChkWitness.recOn	LeanDag.Hybrid.Checkpoint.Model.Execution.ChkWitness.rec
EDGE	LeanDag.Hybrid.Checkpoint.Model.Execution.ChkWitness.recOn	LeanDag.Hybrid.Checkpoint.Model
EDGE	LeanDag.Hybrid.Checkpoint.Model.Execution.ChkWitness.recOn	LeanDag.Hybrid.Checkpoint.Model.Execution.CheckpointQC
EDGE	LeanDag.Hybrid.Checkpoint.Model.Execution.ChkWitness.recOn	LeanDag.Hybrid.Checkpoint.Model.Execution
NODE	LeanDagTest.Barnacle.Majority.not_descent_zero	LeanDagTest.Barnacle.Majority	thm
EDGE	LeanDagTest.Barnacle.Majority.not_descent_zero	LeanDag.Barnacle.BaseRule.Decided
EDGE	LeanDagTest.Barnacle.Majority.not_descent_zero	LeanDag.Barnacle.BaseRule.Laws.agree
EDGE	LeanDagTest.Barnacle.Majority.not_descent_zero	LeanDag.Barnacle.nemo
EDGE	LeanDagTest.Barnacle.Majority.not_descent_zero	LeanDag.Slots.slotRound
EDGE	LeanDagTest.Barnacle.Majority.not_descent_zero	LeanDag.Barnacle.BaseRule.CoversUpto
EDGE	LeanDagTest.Barnacle.Majority.not_descent_zero	LeanDag.Barnacle.nemoLive
EDGE	LeanDagTest.Barnacle.Majority.not_descent_zero	LeanDagTest.Barnacle.Majority.u3_good
EDGE	LeanDagTest.Barnacle.Majority.not_descent_zero	LeanDagTest.Barnacle.Majority.U3
EDGE	LeanDagTest.Barnacle.Majority.not_descent_zero	LeanDagTest.Barnacle.Majority.hand1_slot1
EDGE	LeanDagTest.Barnacle.Majority.not_descent_zero	LeanDag.Barnacle.Nemo.Laws
EDGE	LeanDagTest.Barnacle.Majority.not_descent_zero	LeanDag.Nemo.View.full
EDGE	LeanDagTest.Barnacle.Majority.not_descent_zero	LeanDag.Barnacle.BaseRule.waveLength
EDGE	LeanDagTest.Barnacle.Majority.not_descent_zero	LeanDag.Slots.leader
EDGE	LeanDagTest.Barnacle.Majority.not_descent_zero	LeanDagTest.Barnacle.Majority.attackFaults
EDGE	LeanDagTest.Barnacle.Majority.not_descent_zero	LeanDag.Barnacle.LiveRule.Descent
EDGE	LeanDagTest.Barnacle.Majority.not_descent_zero	LeanDag.Barnacle.Nemo.RoundRobinLive
EDGE	LeanDagTest.Barnacle.Majority.not_descent_zero	LeanDag.Barnacle.LiveRule.toBaseRule
EDGE	LeanDagTest.Barnacle.Majority.not_descent_zero	LeanDag.Barnacle.BaseRule.View
EDGE	LeanDagTest.Barnacle.Majority.not_descent_zero	LeanDag.Barnacle.LiveRule.Descent.goodLeaders
EDGE	LeanDagTest.Barnacle.Majority.not_descent_zero	LeanDag.Slots
EDGE	LeanDagTest.Barnacle.Majority.not_descent_zero	LeanDag.Barnacle.Nemo.holds
EDGE	LeanDagTest.Barnacle.Majority.not_descent_zero	LeanDag.Barnacle.Nemo.Descent
EDGE	LeanDagTest.Barnacle.Majority.not_descent_zero	LeanDag.Barnacle.coversUpto_full
EDGE	LeanDagTest.Barnacle.Majority.not_descent_zero	LeanDagTest.Barnacle.Majority.S1
NODE	LeanDagTest.ugrowReactive._proof_29	LeanDagTest.Reactive	thm
EDGE	LeanDagTest.ugrowReactive._proof_29	LeanDag.Slots.slotRound
EDGE	LeanDagTest.ugrowReactive._proof_29	LeanDagTest.rrSlots
NODE	LeanDagTest.lagStamp._proof_1	LeanDagTest.Collapse	thm
NODE	LeanDag.MahiMahi.Safety.Statement	LeanDag.MahiMahi.Safety.Statement	def
EDGE	LeanDag.MahiMahi.Safety.Statement	LeanDag.MahiMahi.Safety.DecidedConservative
EDGE	LeanDag.MahiMahi.Safety.Statement	LeanDag.MahiMahi.Safety.SkipExcludesCertificates
EDGE	LeanDag.MahiMahi.Safety.Statement	LeanDag.MahiMahi.Safety.Agreement
EDGE	LeanDag.MahiMahi.Safety.Statement	LeanDag.Faults
EDGE	LeanDag.MahiMahi.Safety.Statement	LeanDag.MahiMahi.Safety.DirectSkipConservative
EDGE	LeanDag.MahiMahi.Safety.Statement	LeanDag.BlockUniverse
EDGE	LeanDag.MahiMahi.Safety.Statement	LeanDag.MahiMahi.Safety.CertificateUniqueness
EDGE	LeanDag.MahiMahi.Safety.Statement	LeanDag.Slots
EDGE	LeanDag.MahiMahi.Safety.Statement	LeanDag.MahiMahi.Safety.DirectCommitConservative
NODE	LeanDagTest.Hydrozoan.U14._proof_2	LeanDagTest.Hydrozoan.LivenessHardening	thm
EDGE	LeanDagTest.Hydrozoan.U14._proof_2	LeanDagTest.Hydrozoan.sixReplicas
EDGE	LeanDagTest.Hydrozoan.U14._proof_2	LeanDag.Hydrozoan.instDecidableValidWrtOfDecidableEq
EDGE	LeanDagTest.Hydrozoan.U14._proof_2	LeanDag.Hydrozoan.ValidWrt
EDGE	LeanDagTest.Hydrozoan.U14._proof_2	LeanDagTest.Hydrozoan.lk14
NODE	LeanDag.Odontoceti.exists_partialRun._proof_1_3	LeanDag.Adaptive.Odontoceti	thm
EDGE	LeanDag.Odontoceti.exists_partialRun._proof_1_3	LeanDag.Faults5
EDGE	LeanDag.Odontoceti.exists_partialRun._proof_1_3	LeanDag.AdaptivePolicy.W
EDGE	LeanDag.Odontoceti.exists_partialRun._proof_1_3	LeanDag.Slots.slotRound
EDGE	LeanDag.Odontoceti.exists_partialRun._proof_1_3	LeanDag.Faults.f
EDGE	LeanDag.Odontoceti.exists_partialRun._proof_1_3	LeanDag.AdaptivePolicy
EDGE	LeanDag.Odontoceti.exists_partialRun._proof_1_3	LeanDag.Slots
EDGE	LeanDag.Odontoceti.exists_partialRun._proof_1_3	LeanDag.Faults5.toFaults
NODE	LeanDag.card_filter_not_correct_le._simp_1_2	LeanDag.DoS.Novelty	thm
NODE	LeanDag.decidablePopulatedOn	LeanDag.DoS.Exclusion	def
EDGE	LeanDag.decidablePopulatedOn	LeanDag.decidablePopulatedOn._aux_1
EDGE	LeanDag.decidablePopulatedOn	LeanDag.Faults
EDGE	LeanDag.decidablePopulatedOn	LeanDag.PopulatedOn
EDGE	LeanDag.decidablePopulatedOn	LeanDag.BlockUniverse
NODE	LeanDagTest.ustarvePace._proof_11	LeanDagTest.Unbounded	thm
NODE	LeanDag.Barnacle.PartialRun	LeanDag.Barnacle.Model.Run	ind
